date,,26.4.2020
Dhaka,,2564
Narayanganj,,625
Gazipur,,308
Kishoreganj,,183
Narsingdi,,142
Mymensingh,,92
Munshiganj,,72
Gopalganj,,49
Chittagong,,48
Habiganj,,47
Jamalpur,,45
Comilla,,41
Barisal,,38
Brahamanbaria,,31
Barguna,,30
Madaripur,,30
Lakshmipur,,28
Netrakona,,25
Tangail,,23
Jessore,,22
Shariatpur,,22
Rangpur,,20
Patuakhali,,20
Sherpur,,19
Gaibandha,,16
Dinajpur,,14
Sunamganj,,14
Rajbari,,14
Cox's Bazar,,13
Manikganj,,12
Sylhet,,12
Bogra,,12
Chandpur,,11
Narail,,10
Nilphamari,,10
Rajshahi,,10
Faridpur,,9
Chuadanga,,8
Pirojpur,,7
Khulna,,7
Thakurgaon,,7
Jhenaidah,,7
Maulvibazar,,6
Joypurhat,,6
Noakhali,,5
Jhalokati,,5
Bandarban,,4
Feni,,4
Magura,,4
Panchagarh,,4
Kushtia,,4
Pabna,,3
Kurigram,,3
Bhola,,2
Sirajganj,,2
Naogaon,,2
Meherpur,,2
Lalmonirhat,,2
Nawabganj,,2
Bagerhat,,1
