Number of area,117Total confirmed,1333Abdullahpur,1
Adabor,6
Agargaon,11
Aminbazar,2
Amlapara,2
Armanitola,2
Ashkona,1
Azimpur,18
Babu Bazar,11
Badda,18
Baily Road,3
Baridhara,7
Banasree,1
Banani,9
Banglamotor,2
Bangshal,47
Banianagar,1
Basabo,24
Bijoynagar,1
Bashundhora,7
Begunbari,1
Begum Bazar,1
Beribadh,1
Bokshi Bazar,5
Bosila,1
Buet Area,1
Cantonment,7
Central Road,2
Chankharpool,26
Chawk Bazar,32
Dania,1
Dakshinkhan,1
Dhakkeshori,1
Demra,9
Dhanmondi,36
Dholaikhal,2
Doyaganj,2
Elephant Road,5
Eskaton,9
Faridabagh,1
Fakirapool,2
Farmgate,5
Gendaria,29
Golartek,1
Goran,3
Gonoktuli,3
Gopibag,10
Green Road,12
Gulistan,6
Gulshan,23
Hatir jhil,1
Hatirpool,3
Hazaribagh,26
Ibrahimpur,2
Islambagh,2
Islampur,2
Jailgate,2
Jatrabari,69
Jigatala,6
Jurain,22
Kallyanpur,6
Kalabagan,5
Kakrail,44
Kathalbagan,1
Kamalapur,2
Kamrangir Char,11
Kazi para,7
Kawran Bazar,5
Koratitola,1
Kochukhet,1
Khilgaon,20
Khilkhet,1
Koltabazar,1
Kodomtoli,5
Kotowali,9
Kuril,1
Lalbagh,65
Laxmibazar,10
Madartek,1
Malitola,4
Malibagh,18
Maniknagar,2
Manikdi,1
Matuail,4
Mirhajaribagh,3
Mirpur-1,29
Mirpur-2,2
Mirpur-6,6
Mirpur-10,13
Mirpur-11,25
Mirpur-12,16
Mirpur-13,3
Mirpur-14,37
Mitford,38
Mogbazar,28
Monipur,1
Mohakhali,42
Mohonpur,1
Mohammadpur,57
Motijeel,2
Mugda,41
Nawabpur,1
Nazirabazar,7
Nawabganj,4
Narinda,11
Nilkhet,3
Nakhalpara,9
Nayabazar,7
Neemtoli,4
Nikunja,1
Pallabi,2
Pirerbagh,3
Postogola,5
Purana Paltan,27
Rajarbagh,110
Rampura,15
Ramna,8
