code,eng_name,bn_name
AFG,Afghanistan,আফগানিস্থান
AGO,Angola,এঙ্গোলা
ALB,Albania,আলবেনিয়া
ARE,United Arab Emirates,সংযুক্ত আরব আমিরাত
ARG,Argentina,আর্জেন্টিনা
ARM,Armenia,আরমেনিয়া
ATA,Antarctica,এন্টার্কটিকা
ATF,French Southern and Antarctic Lands,দক্ষিণ এন্টার্কটিকা
AUS,Australia,অস্ট্রেলিয়া
AUT,Austria,অস্ট্রিয়া
AZE,Azerbaijan,আজারবাইজান
BDI,Burundi,বুরুন্ডি
BEL,Belgium,বেলজিয়াম
BEN,Benin,বেনিন
BFA,Burkina Faso,বুরকিনা ফাসো
BGD,Bangladesh,বাংলাদেশ
BGR,Bulgaria,বুলগেরিয়া
BHS,The Bahamas,বাহামা দ্বীপপুঞ্জ
BIH,Bosnia and Herzegovina,বসনিয়া এবং হার্জেগোবিনা
BLR,Belarus,বেলারুশ
BLZ,Belize,বেলিজ
BMU,Bermuda,বারমুডা
BOL,Bolivia,বলিভিয়া
BRA,Brazil,ব্রাজিল
BRN,Brunei,ব্রুনেই
BTN,Bhutan,ভুটান
BWA,Botswana,বতসোয়ানা
CAF,Central African Republic,সেন্ট্রাল আফ্রিকা
CAN,Canada,কানাডা
CHE,Switzerland,সুইজারল্যান্ড
CHL,Chile,চিলি
CHN,China,চীন
CIV,Ivory Coast,আইভরি কোস্ট
CMR,Cameroon,ক্যামেরুন
COD,Democratic Republic of the Congo,গণপ্রজাতন্ত্রী কঙ্গো
COG,Republic of the Congo,কঙ্গো প্রজাতন্ত্র
COL,Colombia,কলম্বিয়া
CRI,Costa Rica,কোস্টারিকা
CUB,Cuba,কিউবা
TRNC,Northern Cyprus,উত্তর সাইপ্রাস
CYP,Cyprus,সাইপ্রাস
CZE,Czech Republic,চেক রিপাবলিক
DEU,Germany,জার্মানি
DJI,Djibouti,জিবুতি
DNK,Denmark,ডেনমার্ক
DOM,Dominican Republic,ডমিনিকান রিপাবলিক
DZA,Algeria,আলজেরিয়া
ECU,Ecuador,ইকুয়েডর
EGY,Egypt,মিশর
ERI,Eritrea,ইরিত্রিয়া
ESP,Spain,স্পেন
EST,Estonia,এস্তোনিয়া
ETH,Ethiopia,ইথিওপিয়া
FIN,Finland,ফিনল্যান্ড
FJI,Fiji,ফিজি
FLK,Falkland Islands,ফকল্যান্ড
FRA,France,ফ্রান্স
GAB,Gabon,গ্যাবন
GBR,United Kingdom,যুক্তরাজ্য
GEO,Georgia,জর্জিয়া
GHA,Ghana,ঘানা
GIN,Guinea,গিনি
GMB,Gambia,গাম্বিয়া
GNB,Guinea Bissau,গিনি বিসাউ
GNQ,Equatorial Guinea,ইকুয়েটোরিয়াল গিনি
GRC,Greece,গ্রীস
GRL,Greenland,গ্রিনল্যান্ড
GTM,Guatemala,গুয়াতেমালা
GUF,French Guiana,ফ্রেঞ্চ গায়ানা
GUY,Guyana,গায়ানা
HND,Honduras,হন্ডুরাস
HRV,Croatia,ক্রোয়েশিয়া
HTI,Haiti,হাইতি
HUN,Hungary,হাঙ্গেরি
IDN,Indonesia,ইন্দোনেশিয়া
IND,India,ভারত
IRL,Ireland,আয়ারল্যান্ড
IRN,Iran,ইরান
IRQ,Iraq,ইরাক
ISL,Iceland,আইসল্যান্ড
ISR,Israel,ইসরায়েল
ITA,Italy,ইটালি
JAM,Jamaica,জ্যামাইকা
JOR,Jordan,জর্ডান
JPN,Japan,জাপান
KAZ,Kazakhstan,কাজাখস্থান
KEN,Kenya,কেনিয়া
KGZ,Kyrgyzstan,কিরগিজস্থান
KHM,Cambodia,কম্বোডিয়া
KOR,South Korea,দক্ষিণ কোরিয়া
CS-KM,Kosovo,কসোভো
KWT,Kuwait,কুয়েত
LAO,Laos,লাওস
LBN,Lebanon,লেবানন
LBR,Liberia,লাইবেরিয়া
LBY,Libya,লিবিয়া
LKA,Sri Lanka,শ্রীলঙ্কা
LSO,Lesotho,লেসোথো
LTU,Lithuania,লিথুয়ানিয়া
LUX,Luxembourg,লুক্সেমবার্গ
LVA,Latvia,লাটভিয়া
MAR,Morocco,মরোক্কো
MDA,Moldova,মলদোভা
MDG,Madagascar,মাদাগাস্কার
MEX,Mexico,মেক্সিকো
MKD,Macedonia,মেসিডোনিয়া
MLI,Mali,মালি
MMR,Myanmar,মিয়ানমার
MNE,Montenegro,মন্টিনিগ্রো
MNG,Mongolia,মঙ্গোলিয়া
MOZ,Mozambique,মোজাম্বিক
MRT,Mauritania,মৌরিতিনিয়া
MWI,Malawi,মালাবি
MYS,Malaysia,মালয়েশিয়া
NAM,Namibia,নামিবিয়া
NCL,New Caledonia,নিউ ক্যালেডোনিয়া
NER,Niger,নাইজার
NGA,Nigeria,নাইজেরিয়া
NIC,Nicaragua,নিকারাগুয়া
NLD,Netherlands,নেদারল্যান্ড
NOR,Norway,নরওয়ে
NPL,Nepal,নেপাল
NZL,New Zealand,নিউজিল্যান্ড
OMN,Oman,ওমান
PAK,Pakistan,পাকিস্তান
PAN,Panama,পানামা
PER,Peru,পেরু
PHL,Philippines,ফিলিপাইন
PNG,Papua New Guinea,পাপুয়া নিউ গিনি
POL,Poland,পোল্যান্ড
PRI,Puerto Rico,পুয়ের্তো রিকো
PRK,North Korea,উত্তর কোরিয়া
PRT,Portugal,পর্তুগাল
PRY,Paraguay,প্যারাগুয়ে
QAT,Qatar,কাতার
ROU,Romania,রোমানিয়া
RUS,Russia,রাশিয়া
RWA,Rwanda,রুয়ান্ডা
ESH,Western Sahara,পশ্চিম সাহারা
SAU,Saudi Arabia,সৌদি আরব
SDN,Sudan,সুদান
SDS,South Sudan,দক্ষিণ সুদান
SEN,Senegal,সেনেগাল
SLB,Solomon Islands,সলোমন দ্বীপপুঞ্জ
SLE,Sierra Leone,সিয়েরা লিওন
SLV,El Salvador,এল সালভাদর
SOL,Somaliland,সোমালিল্যান্ড
SOM,Somalia,সোমালিয়া
SRB,Republic of Serbia,সার্বিয়া
SUR,Suriname,সুরিনাম
SVK,Slovakia,শ্লোভাকিয়া
SVN,Slovenia,স্লোভেনিয়া
SWE,Sweden,সুইডেন
SWZ,Swaziland,সোয়াজিল্যান্ড
SYR,Syria,সিরিয়া
TCD,Chad,চাঁদ
TGO,Togo,টোগো
THA,Thailand,থাইল্যান্ড
TJK,Tajikistan,তাজিকিস্তান
TKM,Turkmenistan,তুর্কমেনিস্তান
TLS,East Timor,পূর্ব তিমুর
TTO,Trinidad and Tobago,ত্রিনিদাদ এবং টোবাগো
TUN,Tunisia,তিউনিসিয়া
TUR,Turkey,তুরস্ক
TWN,Taiwan,তাইওয়ান
TZA,United Republic of Tanzania,তানজানিয়া
UGA,Uganda,উগান্ডা
UKR,Ukraine,ইউক্রেন
URY,Uruguay,উরুগুয়ে
USA,United States of America,যুক্তরাষ্ট্র
UZB,Uzbekistan,উজবেকিস্তান
VEN,Venezuela,ভেনিজুয়েলা
VNM,Vietnam,ভিয়েতনাম
VUT,Vanuatu,ভানুতু
PSE,West Bank,পশ্চিম তীর
YEM,Yemen,ইয়েমেন
ZAF,South Africa,দক্ষিণ আফ্রিকা
ZMB,Zambia,জাম্বিয়া
ZWE,Zimbabwe,জিম্বাবুয়ে
TOTAL,Global,
